transfert size : 20.0000000000 MB, iterations : 15, max bandwidths : arange(5, 101 ,5)
max_bw iter total_transfert time goodput
60 9 20914537 3.474967 48.1490
60 10 20898831 3.592205 46.5426
60 11 20996607 3.756925 44.7102
60 12 20914537 3.479953 48.0800
60 13 20914567 5.164030 32.4004
60 14 20914498 3.582077 46.7092
65 0 20964392 3.277300 51.1748
65 1 20914602 3.836651 43.6101
65 2 20915267 4.146103 40.3565
65 3 20898931 4.365999 38.2940
65 4 20899609 3.838790 43.5546
65 5 20900965 3.647074 45.8471
65 6 20899544 3.732523 44.7945
65 7 20899009 3.613604 46.2674
65 8 20898996 3.257334 51.3279
65 9 20899466 4.201734 39.7921
65 10 20914541 4.494499 37.2269
65 11 20899557 5.134484 32.5634
65 12 20914641 3.333993 50.1852
65 13 20914654 4.396958 38.0530
65 14 20914628 4.504442 37.1449
70 0 20899009 3.407099 49.0717
70 1 20900378 3.532913 47.3272
70 2 20899544 4.036628 41.4198
70 3 20914654 3.254548 51.4103
70 4 20914628 3.994022 41.8919
70 5 20914680 3.630457 46.0872
70 6 20914645 3.582059 46.7098
70 7 20914628 3.424894 48.8532
70 8 20899022 4.707325 35.5174
70 9 20947495 5.980425 28.0214
70 10 21453844 5.586949 30.7199
70 11 21143709 3.606019 46.9076
70 12 21944591 4.717416 37.2146
70 13 20914632 3.039762 55.0428
70 14 20914680 2.945391 56.8065
75 0 20900939 4.225249 39.5734
75 1 20964457 3.730811 44.9542
75 2 20899479 3.416011 48.9448
75 3 20898961 3.693238 45.2697
75 4 20900417 3.218819 51.9456
75 5 20899009 3.300019 50.6640
75 6 20899691 2.737698 61.0723
75 7 20899492 5.121873 32.6435
75 8 20914667 2.820578 59.3202
75 9 20914693 2.852646 58.6535
75 10 20900861 5.245517 31.8762
75 11 20965126 2.934225 57.1602
75 12 20898905 4.356193 38.3801
75 13 20898983 3.095982 54.0029
75 14 20914667 3.735563 44.7904
80 0 20914645 6.225025 26.8782
80 1 20981523 2.754240 60.9432
80 2 20899713 3.970636 42.1085
80 3 21928238 3.998054 43.8778
80 4 20898905 3.219302 51.9340
80 5 20899022 3.063803 54.5701
80 6 20914645 6.054425 27.6355
80 7 20901004 3.113176 53.7098
80 8 20914693 2.729544 61.2987
80 9 20899726 2.740394 61.0123
80 10 20898987 3.013781 55.4758
80 11 20898987 3.070375 54.4532
80 12 20899561 3.208090 52.1171
80 13 20914719 3.019656 55.4095
80 14 20914615 5.031072 33.2567
85 0 20914680 2.662651 62.8387
85 1 20914706 3.543829 47.2138
85 2 20914693 2.609196 64.1261
85 3 20902490 2.839766 58.8851
85 4 20965200 3.732763 44.9323
85 5 20898840 2.966267 56.3640
85 6 20900913 3.002512 55.6891
85 7 20899557 5.719972 29.2303
85 8 20914667 2.790159 59.9670
85 9 20914632 2.802446 59.7039
85 10 20900248 5.992827 27.9004
85 11 20914732 2.931669 57.0726
85 12 20914719 2.729097 61.3088
85 13 20914576 3.120230 53.6232
85 14 20902620 2.775132 60.2569
90 0 20899000 2.528955 66.1111
90 1 20899022 2.586927 64.6296
90 2 20980832 2.596693 64.6386
90 3 20899479 3.633083 46.0204
90 4 20914697 3.315355 50.4675
90 5 21094740 3.214409 52.5005
90 6 20899687 2.992158 55.8786
90 7 20899548 2.910479 57.4463
90 8 20899648 3.039074 55.0158
90 9 20914671 2.485978 67.3044
90 10 20899509 2.726359 61.3258
90 11 20914667 3.664979 45.6530
90 12 20914680 2.486930 67.2787
90 13 20981601 2.803772 59.8668
90 14 20900447 2.803522 59.6405
95 0 20899000 2.391904 69.8991
95 1 20965070 2.549901 65.7753
95 2 20899013 2.589179 64.5734
95 3 20914836 3.779567 44.2693
95 4 20914658 2.376144 70.4155
95 5 21242232 2.355277 72.1520
95 6 20914710 2.426060 68.9668
95 7 20914645 2.340135 71.4989
95 8 20899752 2.464027 67.8556
95 9 20914667 2.600451 64.3417
95 10 20914758 2.388359 70.0557
95 11 20392400 3.237581 50.3892
95 12 20899609 2.552853 65.4941
95 13 20948803 2.415703 69.3754
95 14 20914693 4.719675 35.4511
100 0 20948864 3.589411 46.6904
100 1 20899052 2.804182 59.6225
100 2 20981601 2.311079 72.6296
100 3 20931107 2.672858 62.6479
100 4 20899596 2.780750 60.1265
100 5 20914589 3.919258 42.6909
100 6 20914732 2.264519 73.8867
100 7 20931120 4.776280 35.0584
100 8 20899035 3.314709 50.4395
100 9 20899570 6.593287 25.3586
100 10 20981553 2.365175 70.9683
100 11 20914710 2.292671 72.9794
100 12 20914758 2.213934 75.5750
100 13 20899600 4.719134 35.4296
100 14 20931094 4.535876 36.9165
