Transfert size : 10.000000, handle bandwidth : 20.0000000000 Mbits/sec, bandwidth of top link : 5.0000000000 Mbits/sec, bandwidth of bot link : 5.0000000000 Mbits/sec, handle delay : 35.000000 ms, top delay : 35.000000 ms, considered bot delay ratios relative to top delay : np.arange(0.200000, 3.100000, 0.200000) iterations : 30
ratio iter total_transfert time goodput
1.200 1 10394638 18.931273 4.3926
1.200 2 10297896 13.438807 6.1302
1.200 3 11458255 12.421629 7.3796
1.200 4 11458246 15.598800 5.8765
1.200 5 10491085 15.732677 5.3347
1.200 6 10117802 18.811237 4.3029
1.200 7 11456808 12.453548 7.3597
1.200 8 13563234 14.253841 7.6124
1.200 9 11471688 13.224912 6.9394
1.200 10 10428157 17.531245 4.7587
1.200 11 10558384 19.540726 4.3226
1.200 12 12274817 12.494417 7.8594
1.200 13 10836551 11.209223 7.7340
1.200 14 11473148 16.495062 5.5644
1.200 15 13579592 13.948098 7.7886
1.200 16 10443841 11.094036 7.5311
1.200 17 11471775 13.908003 6.5987
1.200 18 10525299 19.741662 4.2652
1.200 19 10653775 18.618295 4.5778
1.200 20 10428831 13.464225 6.1965
1.200 21 11471736 15.042060 6.1012
1.200 22 13564677 14.197367 7.6435
1.200 23 11474660 10.750729 8.5387
1.200 24 10429639 16.389916 5.0908
1.200 25 10770721 19.617304 4.3923
1.200 26 10426736 16.203705 5.1478
1.200 27 11456760 12.446257 7.3640
1.200 28 20230417 20.115724 8.0456
1.200 29 11471736 12.952739 7.0853
1.400 0 10412473 16.716275 4.9832
1.400 1 10314284 11.803249 6.9908
1.400 2 10411091 16.162969 5.1531
1.400 3 10410709 16.422142 5.0715
1.400 4 10425924 11.977829 6.9635
1.400 5 10457387 20.444088 4.0921
1.400 6 10674053 20.162892 4.2351
1.400 7 11440346 13.065334 7.0050
1.400 8 10429578 16.325273 5.1109
1.400 9 13776878 16.570418 6.6513
1.400 10 17747587 18.905671 7.5100
1.400 11 15657492 15.535254 8.0629
1.400 12 10510758 18.934233 4.4410
1.400 13 10098701 20.009877 4.0375
1.400 14 11456782 10.973513 8.3523
1.400 15 11474608 11.040515 8.3145
1.400 16 11471727 11.002350 8.3413
1.400 17 11474461 12.415709 7.3935
1.400 18 10427089 16.546176 5.0414
1.400 19 10852874 15.802240 5.4943
1.400 20 11473083 11.050318 8.3061
1.400 21 11114679 12.507717 7.1090
1.400 22 11456773 10.771026 8.5093
1.400 23 13566111 17.065778 6.3594
1.400 24 10427358 13.846559 6.0245
1.400 25 11620380 11.307850 8.2211
1.400 26 11474617 11.587742 7.9219
1.400 27 13500615 14.858646 7.2688
1.400 28 10299434 21.380132 3.8538
1.400 29 19911660 20.273947 7.8570
1.600 0 12828322 15.775312 6.5055
1.600 1 10443785 13.582451 6.1513
1.600 2 10425707 16.342078 5.1037
1.600 3 12683862 15.400291 6.5889
1.600 4 10184813 17.079983 4.7704
1.600 5 10428179 16.427997 5.0782
1.600 6 11474530 10.787581 8.5094
1.600 7 11569938 15.122660 6.1206
1.600 8 11473083 10.905151 8.4166
1.600 9 10607470 16.146210 5.2557
1.600 10 10412460 11.248089 7.4057
1.600 11 10016573 19.580801 4.0924
1.600 12 10459939 12.725482 6.5757
1.600 13 11471766 12.679233 7.2381
1.600 14 11081864 11.595222 7.6458
1.600 15 11458034 14.292843 6.4133
1.600 16 10446597 20.215544 4.1341
1.600 17 10445293 18.771605 4.4515
1.600 18 10460147 17.578242 4.7605
1.600 19 11471701 13.222019 6.9410
1.600 20 10427423 14.527960 5.7420
1.600 21 12713775 13.800123 7.3702
1.600 22 10425902 14.282504 5.8398
1.600 23 10442290 13.352524 6.2564
1.600 24 15644037 18.422244 6.7935
1.600 25 13564373 14.603229 7.4309
1.600 26 11458155 12.680295 7.2290
1.600 27 11474556 11.318730 8.1101
1.600 28 10412456 15.291752 5.4474
1.600 29 10410766 15.468920 5.3841
1.800 0 10934597 13.910230 6.2887
1.800 1 11488111 12.840627 7.1574
1.800 2 11471840 12.342483 7.4357
1.800 3 10429591 17.985254 4.6392
1.800 4 11489406 13.194211 6.9663
1.800 5 10429552 17.046867 4.8945
1.800 6 13564564 15.302182 7.0916
1.800 7 11473109 10.798039 8.5001
1.800 8 10379463 15.568344 5.3336
1.800 9 11474452 13.869567 6.6185
1.800 10 10394738 15.979921 5.2039
1.800 11 11473148 11.196373 8.1978
1.800 12 13566050 15.273328 7.1057
1.800 13 10360167 17.577101 4.7153
1.800 14 13549306 17.906568 6.0533
1.800 15 15658874 15.706829 7.9756
1.800 16 13549437 15.206002 7.1285
1.800 17 11474552 14.527565 6.3188
1.800 18 10034696 11.749984 6.8321
1.800 19 11474604 11.583028 7.9251
1.800 20 11474617 12.615090 7.2768
1.800 21 11521615 14.299433 6.4459
1.800 22 11473057 11.524467 7.9643
1.800 23 10263820 20.739715 3.9591
1.800 24 11456351 14.517312 6.3132
1.800 25 10428105 17.315633 4.8179
1.800 26 10983670 16.781953 5.2359
1.800 27 11471367 11.351903 8.0842
1.800 28 15640939 18.720481 6.6840
1.800 29 12288389 14.623619 6.7225
2.000 0 13564612 14.815394 7.3246
2.000 1 11668058 16.742808 5.5752
2.000 2 10608618 21.624311 3.9247
2.000 3 11473083 11.616780 7.9010
2.000 4 10411078 18.623934 4.4721
2.000 5 10425794 21.358510 3.9051
2.000 6 10915545 20.050186 4.3553
2.000 7 13662801 14.375947 7.6031
2.000 8 10476253 13.663342 6.1339
2.000 9 10851022 18.902078 4.5925
2.000 10 10410556 14.849606 5.6085
2.000 11 10445158 18.331923 4.5582
2.000 12 13565799 13.347961 8.1306
2.000 13 11065532 14.596252 6.0649
2.000 14 10443763 18.302519 4.5650
2.000 15 11488037 13.663964 6.7260
2.000 16 11456799 12.504721 7.3296
2.000 17 10411039 18.119499 4.5966
2.000 18 12289449 15.992980 6.1474
2.000 19 10443750 14.590167 5.7265
2.000 20 10964531 20.231761 4.3356
2.000 21 10980854 13.149203 6.6808
2.000 22 12714974 14.323372 7.1017
2.000 23 15658900 19.289370 6.4943
2.000 24 10428770 11.853931 7.0382
2.000 25 19843413 18.142809 8.7499
2.000 26 11489497 11.571658 7.9432
2.000 27 17751880 16.840568 8.4329
2.000 28 10460060 12.993183 6.4403
2.000 29 10427414 12.439975 6.7057
2.200 0 10346334 19.645140 4.2133
2.200 1 11473157 12.567523 7.3034
2.200 2 10425963 11.583168 7.2008
2.200 3 10410074 14.899762 5.5894
2.200 4 10410713 13.554715 6.1444
2.200 5 10948195 17.145802 5.1083
2.200 6 15951265 19.012893 6.7118
2.200 7 13580974 14.310915 7.5920
2.200 8 13549736 15.178625 7.1415
2.200 9 11651235 16.797611 5.5490
2.200 10 10003384 14.127655 5.6646
2.200 11 10425928 16.370353 5.0950
2.200 12 11504464 15.060679 6.1110
2.200 13 11473096 11.570853 7.9324
2.200 14 10428040 17.403925 4.7934
2.200 15 11456548 14.084207 6.5075
2.200 16 10477947 14.691177 5.7057
2.200 17 11618773 11.953672 7.7759
2.200 18 10429578 17.909999 4.6587
