transfert size : 10.0000000000 MB, iterations : 30, delays : arange(5, 100 ,15), bw : 5
delay bw iter total_transfert time goodput
80 5 7 10558329 21.830442 3.8692
80 5 8 10509243 19.703996 4.2668
80 5 9 10506349 22.032272 3.8149
80 5 10 10558329 19.932252 4.2377
80 5 11 10754660 29.601265 2.9065
80 5 12 11278231 29.124006 3.0980
80 5 13 10736786 22.610770 3.7988
80 5 14 10558329 19.442470 4.3444
80 5 15 10558329 19.450782 4.3426
80 5 16 10558329 19.421615 4.3491
80 5 17 10509152 22.855653 3.6784
80 5 18 10558329 19.416488 4.3503
80 5 19 10558329 19.442659 4.3444
80 5 20 10558329 19.450303 4.3427
80 5 21 10558329 20.550666 4.1102
80 5 22 11456753 25.707283 3.5653
80 5 23 10558329 19.441048 4.3448
80 5 24 10931709 21.845693 4.0032
80 5 25 11554912 29.637044 3.1190
80 5 26 11065551 28.331784 3.1246
80 5 27 10558329 19.431228 4.3470
80 5 28 10558329 19.430685 4.3471
80 5 29 10558329 19.420294 4.3494
95 5 0 10672863 21.545429 3.9629
95 5 1 10506336 23.897478 3.5171
95 5 2 10672863 19.976941 4.2741
95 5 3 10672863 19.986297 4.2721
95 5 4 10672863 21.251444 4.0177
95 5 5 10672863 20.015194 4.2659
95 5 6 10672863 19.974378 4.2746
95 5 7 10509165 24.250233 3.4669
95 5 8 10950939 25.115230 3.4882
95 5 9 10672863 20.248301 4.2168
95 5 10 11900000 26.935586 3.5344
95 5 11 10672863 19.981451 4.2731
95 5 12 10672863 20.521410 4.1607
95 5 13 10509165 24.176684 3.4775
95 5 14 10443756 21.997309 3.7982
95 5 15 10525514 25.232212 3.3372
95 5 16 11981823 26.607777 3.6025
95 5 17 10672863 19.999100 4.2693
95 5 18 10672863 19.970135 4.2755
95 5 19 10672863 20.761967 4.1125
95 5 20 10329248 27.394843 3.0164
95 5 21 10672863 21.502104 3.9709
95 5 22 10672863 19.978959 4.2736
95 5 23 10817214 24.224626 3.5723
95 5 24 10672863 20.658777 4.1330
95 5 25 10672863 19.986821 4.2720
95 5 26 10558329 19.784377 4.2694
95 5 27 10672863 19.996098 4.2700
95 5 28 10506336 23.282517 3.6100
95 5 29 10490026 23.171121 3.6218
110 5 0 10669982 24.191858 3.5285
110 5 1 10558251 24.212806 3.4885
110 5 2 10492803 27.509082 3.0514
110 5 3 10509230 28.899999 2.9091
110 5 4 10672863 22.612444 3.7759
110 5 5 10672863 21.289940 4.0105
110 5 6 10672863 20.301850 4.2057
110 5 7 10672863 20.301892 4.2057
110 5 8 10672863 20.362637 4.1931
110 5 9 10672863 20.346325 4.1965
110 5 10 10672863 20.360574 4.1935
110 5 11 11081835 28.432801 3.1180
110 5 12 10672863 20.343986 4.1970
110 5 13 10672863 20.362765 4.1931
110 5 14 10672863 20.358643 4.1939
110 5 15 10525527 24.022306 3.5053
110 5 16 10672863 21.864677 3.9051
110 5 17 11834591 32.450869 2.9175
110 5 18 10672863 20.341377 4.1975
110 5 19 11850914 39.121954 2.4234
110 5 20 10672863 20.370568 4.1915
110 5 21 10672889 20.396319 4.1862
110 5 22 10672863 20.341749 4.1974
110 5 23 10852793 29.085266 2.9851
110 5 24 10672889 21.832970 3.9107
110 5 25 10820069 25.298827 3.4215
110 5 26 11291725 30.900722 2.9234
110 5 27 10672889 20.332221 4.1994
110 5 28 10672863 20.369906 4.1916
110 5 29 10021108 36.120340 2.2195
125 5 0 10509178 29.847329 2.8168
125 5 1 10918228 25.916179 3.3703
125 5 2 11572695 26.937589 3.4369
125 5 3 11670971 31.102477 3.0019
125 5 4 10672889 21.253227 4.0174
125 5 5 10672889 20.753437 4.1142
125 5 6 10672889 20.740077 4.1168
125 5 7 10672889 20.729329 4.1190
125 5 8 10672889 22.726231 3.7570
125 5 9 10672889 20.807837 4.1034
125 5 10 10672889 23.800141 3.5875
125 5 11 11670958 34.061809 2.7411
125 5 12 10672889 23.645862 3.6109
125 5 13 10558277 37.574635 2.2480
125 5 14 10672889 20.796359 4.1057
125 5 15 10672889 20.785004 4.1079
125 5 16 10672889 22.343171 3.8214
125 5 17 10672889 20.799876 4.1050
125 5 18 10672889 20.783626 4.1082
125 5 19 10672889 20.866599 4.0919
125 5 20 10672889 20.758739 4.1131
125 5 21 10754595 24.828434 3.4653
125 5 22 10672889 20.787987 4.1073
125 5 23 10672889 20.777127 4.1095
125 5 24 10672889 20.747069 4.1154
125 5 25 11589057 26.040332 3.5603
125 5 26 10672889 21.498900 3.9715
125 5 27 10672889 20.744166 4.1160
125 5 28 10672889 20.789962 4.1069
125 5 29 10754686 24.338106 3.5351
140 5 0 10901957 21.570505 4.0433
140 5 1 11703682 33.459168 2.7983
140 5 2 10901957 21.575881 4.0423
140 5 3 10901957 21.607988 4.0363
140 5 4 10672889 21.186221 4.0301
140 5 5 11719953 27.773848 3.3758
140 5 6 10672889 22.860929 3.7349
140 5 7 10901944 21.784151 4.0036
140 5 8 10672889 21.153954 4.0363
140 5 9 10672889 21.977764 3.8850
140 5 10 10672889 21.163359 4.0345
140 5 11 10672889 21.217892 4.0241
140 5 12 10901957 21.534231 4.0501
140 5 13 10083766 23.867932 3.3799
140 5 14 11883677 27.780502 3.4222
140 5 15 10689251 21.254099 4.0234
140 5 16 10901957 21.700846 4.0190
140 5 17 10672889 21.261464 4.0159
140 5 18 11785427 30.306464 3.1110
140 5 19 10672889 22.312955 3.8266
140 5 20 10689251 22.763563 3.7566
140 5 21 10901957 21.563850 4.0445
140 5 22 10901957 21.564197 4.0445
140 5 23 11998107 27.289100 3.5173
140 5 24 10672889 21.132823 4.0403
140 5 25 10901957 21.576741 4.0421
140 5 26 10901957 21.599409 4.0379
140 5 27 10672889 21.166031 4.0340
140 5 28 10672889 21.193160 4.0288
140 5 29 10672889 21.186661 4.0300
155 5 0 10901957 22.005801 3.9633
155 5 1 10901957 24.179937 3.6069
155 5 2 10901957 22.039930 3.9572
155 5 3 10901944 21.962693 3.9711
155 5 4 10901957 21.981411 3.9677
155 5 5 10901944 24.038277 3.6282
155 5 6 10901957 31.453749 2.7728
155 5 7 10901957 21.995611 3.9651
155 5 8 10901957 21.991684 3.9658
155 5 9 10901944 31.080945 2.8061
155 5 10 10672889 31.737093 2.6903
155 5 11 10901957 22.003587 3.9637
155 5 12 10901957 22.046577 3.9560
155 5 13 10901957 22.046695 3.9560
155 5 14 10901957 22.085043 3.9491
155 5 15 10901957 33.612221 2.5948
155 5 16 10901944 22.276868 3.9151
155 5 17 10901957 22.015632 3.9615
155 5 18 11441903 26.737146 3.4235
155 5 19 10901957 21.983113 3.9674
155 5 20 10901944 21.963108 3.9710
155 5 21 10901957 22.011523 3.9623
155 5 22 10901957 27.708281 3.1476
155 5 23 10901957 22.010111 3.9625
155 5 24 12014573 35.997409 2.6701
155 5 25 10901957 22.145840 3.9382
155 5 26 10901957 22.010573 3.9624
155 5 27 10869168 38.249415 2.2733
155 5 28 10901957 22.756870 3.8325
155 5 29 10901957 22.059501 3.9537
170 5 0 10885517 41.573115 2.0947
170 5 1 10901957 22.483910 3.8790
170 5 2 10901957 22.363922 3.8998
170 5 3 10803785 24.775507 3.4885
170 5 4 10672837 24.914076 3.4271
170 5 5 10901957 22.403123 3.8930
170 5 6 11441825 28.997847 3.1566
170 5 7 10901957 22.417894 3.8904
170 5 8 10901957 22.432206 3.8880
170 5 9 11016478 36.865822 2.3906
170 5 10 10901957 22.472738 3.8810
170 5 11 10901957 22.419450 3.8902
170 5 12 12080021 28.625517 3.3760
170 5 13 11425528 28.388775 3.2197
170 5 14 10901957 22.902633 3.8081
170 5 15 10901957 25.462086 3.4253
170 5 16 10901957 22.370607 3.8987
170 5 17 10901957 25.309249 3.4460
170 5 18 10018370 60.762830 1.3190
170 5 19 10901957 30.530342 2.8567
170 5 20 10247490 27.092001 3.0260
170 5 21 10901957 26.297898 3.3164
170 5 22 10901957 22.432098 3.8880
170 5 23 10901957 22.393758 3.8946
170 5 24 10901957 22.424068 3.8894
170 5 25 10901957 22.382581 3.8966
170 5 26 10411097 30.668116 2.7158
170 5 27 10198352 30.825954 2.6467
170 5 28 10901957 22.485815 3.8787
170 5 29 11998120 34.044864 2.8194
185 5 0 10901944 23.172632 3.7637
185 5 1 10901957 22.849473 3.8170
185 5 2 10901957 22.860875 3.8151
185 5 3 10901957 22.803247 3.8247
185 5 4 10901957 22.821096 3.8217
185 5 5 10901957 22.891676 3.8099
185 5 6 10901957 22.839280 3.8187
185 5 7 10901957 25.428973 3.4298
185 5 8 10901957 22.855100 3.8160
185 5 9 10901957 22.826685 3.8208
185 5 10 10901957 22.864806 3.8144
185 5 11 10901944 26.304925 3.3156
185 5 12 10951043 39.047091 2.2437
185 5 13 12079943 28.984043 3.3342
185 5 14 10901957 22.820103 3.8219
185 5 15 10934616 32.583363 2.6847
185 5 16 10901957 36.223949 2.4077
185 5 17 10901944 22.818077 3.8222
185 5 18 10901957 22.796804 3.8258
185 5 19 10901944 24.951803 3.4954
185 5 20 11670971 29.604129 3.1539
185 5 21 10901957 24.364110 3.5797
185 5 22 10901944 22.841546 3.8183
185 5 23 10901944 22.802841 3.8248
185 5 24 10901957 22.830647 3.8201
185 5 25 10901944 23.237712 3.7532
185 5 26 10901957 22.863484 3.8146
185 5 27 10901957 22.823372 3.8213
185 5 28 10901957 22.805237 3.8244
185 5 29 10901957 22.865115 3.8144
200 5 0 10983702 28.231596 3.1125
200 5 1 10901957 23.232139 3.7541
200 5 2 10901957 23.247044 3.7517
200 5 3 11670880 29.038822 3.2152
200 5 4 10951043 23.416747 3.7413
200 5 5 10901957 24.059379 3.6250
200 5 6 10901957 25.834620 3.3759
200 5 7 10787358 29.884928 2.8877
200 5 8 11654596 37.825001 2.4650
200 5 9 10901957 23.291576 3.7445
200 5 10 10901957 23.273711 3.7474
200 5 11 10901957 23.276597 3.7469
200 5 12 10901957 23.240509 3.7527
200 5 13 10901957 23.277311 3.7468
200 5 14 10901957 23.261880 3.7493
200 5 15 10901957 23.263799 3.7490
200 5 16 10901957 25.924376 3.3642
200 5 17 10901957 23.281938 3.7461
200 5 18 10901957 23.223941 3.7554
200 5 19 10901957 23.260109 3.7496
200 5 20 10901957 25.091768 3.4759
200 5 21 10901957 23.315686 3.7406
200 5 22 10100154 26.211946 3.0826
200 5 23 10901957 23.300690 3.7431
200 5 24 10901957 23.213909 3.7570
200 5 25 10149266 34.696611 2.3401
200 5 26 10901944 23.568700 3.7005
200 5 27 10901957 23.350033 3.7351
200 5 28 10901918 23.274550 3.7472
200 5 29 10901957 23.308151 3.7419
