Transfert size : 10.000000, handle bandwidth : 20.0000000000 Mbits/sec, bandwidth of top link : 5.0000000000 Mbits/sec, bandwidth of bot link : 5.0000000000 Mbits/sec, handle delay : 35.000000 ms, top delay : 35.000000 ms, considered bot delay ratios relative to top delay : np.arange(0.200000, 3.100000, 0.200000) iterations : 30
ratio iter total_transfert time goodput
1.200 1 11245488 12.526280 7.1820
1.200 2 17293757 17.971484 7.6983
1.200 3 10409301 16.720457 4.9804
1.200 4 10409310 17.383724 4.7904
1.200 5 10427272 16.303471 5.1166
1.200 6 10412456 15.057892 5.5320
1.200 7 10118005 18.119904 4.4671
1.200 8 11929833 12.830553 7.4384
1.200 9 10885572 11.623265 7.4923
1.200 10 11458207 13.081009 7.0075
1.200 11 18439132 20.732940 7.1149
1.200 12 19843409 18.314647 8.6678
1.200 13 11473170 11.030991 8.3207
1.200 14 11458233 14.998619 6.1116
1.200 15 10409592 15.985231 5.2096
1.200 16 10132629 19.850431 4.0836
1.200 17 10461494 18.058363 4.6345
1.200 18 10409297 14.005310 5.9459
1.200 19 10428805 11.015023 7.5742
1.200 20 10198372 15.279298 5.3397
1.200 21 10409393 17.511376 4.7555
1.200 22 10410801 13.284288 6.2695
1.200 23 10034739 11.675557 6.8757
1.200 24 13551083 15.068637 7.1943
1.200 25 11440446 12.701377 7.2058
1.200 26 13615110 14.726966 7.3960
1.200 27 11471753 12.743411 7.2017
1.200 28 10001181 11.506669 6.9533
1.200 29 11456760 13.765425 6.6583
1.400 0 11471554 14.900503 6.1590
1.400 1 13176187 15.940864 6.6125
1.400 2 10425672 16.535279 5.0441
1.400 3 10541831 12.084340 6.9788
1.400 4 10427436 14.918279 5.5918
1.400 5 10478673 17.417021 4.8131
1.400 6 10491376 10.580889 7.9323
1.400 7 16117114 19.789690 6.5154
1.400 8 10427349 11.898733 7.0107
1.400 9 10430269 12.847830 6.4946
1.400 10 12698916 12.895618 7.8780
1.400 11 10443789 17.939701 4.6573
1.400 12 13109331 13.255969 7.9115
1.400 13 11475938 13.562336 6.7693
1.400 14 10427362 14.587701 5.7184
1.400 15 11781167 12.274488 7.6785
1.400 16 11488193 12.112894 7.5874
1.400 17 10428848 16.197722 5.1508
1.400 18 10411026 13.573998 6.1359
1.400 19 10442277 12.973627 6.4391
1.400 20 10085950 17.655031 4.5702
1.400 21 11490866 13.186731 6.9712
1.400 22 10442364 12.926588 6.4626
1.400 23 11473174 10.742211 8.5444
1.400 24 10427427 17.938613 4.6503
1.400 25 11473144 11.068667 8.2923
1.400 26 10430334 10.749800 7.7623
1.400 27 10559731 15.468162 5.4614
1.400 28 10409531 12.640332 6.5881
1.400 29 11473183 11.775696 7.7945
1.600 0 12681081 14.206912 7.1408
1.600 1 10049641 15.501114 5.1865
1.600 2 10523827 12.484597 6.7436
1.600 3 13549701 16.452516 6.5885
1.600 4 11260438 13.785024 6.5349
1.600 5 12992637 15.465183 6.7210
1.600 6 18748342 22.570631 6.6452
1.600 7 11487772 11.624734 7.9057
1.600 8 11474556 12.537852 7.3215
1.600 9 13549632 14.221846 7.6219
1.600 10 10412538 17.917463 4.6491
1.600 11 11456747 13.179029 6.9545
1.600 12 10001829 18.064080 4.4295
1.600 13 10720214 13.731925 6.2454
1.600 14 11456734 14.339958 6.3915
1.600 15 10232452 18.785167 4.3577
1.600 16 10460060 15.021961 5.5705
1.600 17 10068819 13.326053 6.0446
1.600 18 10951015 19.513383 4.4896
1.600 19 10052132 14.799569 5.4337
1.600 20 11081708 13.644630 6.4973
1.600 21 10135058 16.809377 4.8235
1.600 22 11488024 12.069056 7.6149
1.600 23 11472831 14.124195 6.4983
1.600 24 13549410 14.892798 7.2784
1.600 25 10998237 15.145265 5.8095
1.600 26 10152124 20.485421 3.9646
1.600 27 10425685 17.301967 4.8206
1.600 28 10770677 16.744832 5.1458
1.600 29 13564551 15.409137 7.0423
1.800 0 10443724 11.608171 7.1975
1.800 1 13552530 16.864615 6.4289
1.800 2 10624176 17.499153 4.8570
1.800 3 10278731 11.390719 7.2190
1.800 4 10705633 14.789206 5.7911
1.800 5 10474788 15.174326 5.5224
1.800 6 16721035 19.893966 6.7241
1.800 7 12700281 13.975303 7.2701
1.800 8 15656158 14.964708 8.3696
1.800 9 11456743 14.633040 6.2635
1.800 10 11473118 11.829461 7.7590
1.800 11 10800885 13.215540 6.5383
1.800 12 11474582 11.145805 8.2360
1.800 13 11474569 12.121358 7.5731
1.800 14 13581026 14.865052 7.3090
1.800 15 11457724 13.702908 6.6892
1.800 16 10411013 16.782980 4.9627
1.800 17 11474513 11.651467 7.8785
1.800 18 11474582 12.336666 7.4410
1.800 19 11474569 13.738854 6.6815
1.800 20 11441806 11.511155 7.9518
1.800 21 10427501 12.970429 6.4316
1.800 22 10378367 11.361801 7.3076
1.800 23 11474552 11.071139 8.2915
1.800 24 10427423 15.349004 5.4348
1.800 25 12925820 17.758992 5.8228
1.800 26 11522195 13.101692 7.0355
1.800 27 11489506 12.293023 7.4771
1.800 28 10442303 18.023096 4.6351
1.800 29 11964004 12.403077 7.7168
2.000 0 10296609 13.470783 6.1149
2.000 1 11473122 12.105753 7.5819
2.000 2 10214708 17.308477 4.7213
2.000 3 11458155 11.117922 8.2448
2.000 4 10425501 19.850744 4.2016
2.000 5 11456596 12.724977 7.2026
2.000 6 12682563 15.620333 6.4954
2.000 7 10427449 12.825611 6.5041
2.000 8 11636625 13.166179 7.0706
2.000 9 10427362 13.147201 6.3450
2.000 10 10445210 18.649365 4.4807
2.000 11 11456747 13.524153 6.7771
2.000 12 12878885 14.742737 6.9886
2.000 13 10412508 17.945066 4.6419
2.000 14 11472849 12.653414 7.2536
2.000 15 11471766 12.717360 7.2164
2.000 16 11456600 13.137474 6.9764
2.000 17 15282648 17.544622 6.9686
2.000 18 11830119 14.718354 6.4301
2.000 19 11473118 10.922527 8.4033
2.000 20 11472910 12.772802 7.1858
2.000 21 11473131 13.115755 6.9981
2.000 22 11488072 11.310773 8.1254
2.000 23 10412486 15.634618 5.3279
2.000 24 10982297 12.607644 6.9687
2.000 25 11490957 12.465767 7.3744
2.000 26 11002965 23.380901 3.7648
2.000 27 10426002 17.708443 4.7101
2.000 28 12978344 14.953976 6.9431
2.000 29 14036246 14.462195 7.7644
2.200 0 13566150 15.491787 7.0056
2.200 1 10034774 14.243658 5.6361
2.200 2 10426002 11.245042 7.4173
2.200 3 10967447 14.817435 5.9214
2.200 4 17749060 19.887207 7.1399
2.200 5 15658974 18.505073 6.7696
2.200 6 13582152 15.504198 7.0082
2.200 7 15574335 23.336399 5.3391
2.200 8 11636751 12.354255 7.5354
2.200 9 11474591 12.804631 7.1690
2.200 10 10428796 13.384464 6.2334
2.200 11 10656569 13.857065 6.1523
2.200 12 11458298 11.401276 8.0400
2.200 13 16508329 16.809123 7.8568
2.200 14 10409362 14.604223 5.7021
2.200 15 11473109 10.867578 8.4458
2.200 16 13680610 16.073412 6.8091
2.200 17 11473157 13.106143 7.0032
2.200 18 10412447 15.976574 5.2139
2.200 19 15656058 17.057022 7.3429
2.200 20 15657492 17.261459 7.2566
2.200 21 10574582 18.004153 4.6987
2.200 22 13565972 13.160251 8.2466
2.200 23 11475964 14.792564 6.2063
2.200 24 11473122 13.783664 6.6590
2.200 25 11488163 12.463755 7.3738
2.200 26 11471740 12.508221 7.3371
2.200 27 10429513 16.278742 5.1255
2.200 28 13565998 12.568110 8.6352
2.200 29 11471309 13.389305 6.8540
2.400 0 10443811 17.215830 4.8531
2.400 1 10427375 15.181791 5.4947
2.400 2 10950920 12.179722 7.1929
2.400 3 10085281 18.952488 4.2571
2.400 4 11474539 10.999997 8.3451
2.400 5 11489497 11.074017 8.3001
2.400 6 17783157 18.933146 7.5141
2.400 7 15658913 14.393894 8.7031
2.400 8 11211330 13.628126 6.5813
2.400 9 10428796 15.768720 5.2909
2.400 10 11489506 13.250588 6.9368
2.400 11 17750407 18.532221 7.6625
2.400 12 11473031 12.008294 7.6434
2.400 13 11962440 18.285880 5.2335
2.400 14 11980053 16.372338 5.8538
2.400 15 10429587 16.396870 5.0886
2.400 16 11472949 10.871448 8.4426
2.400 17 11489593 10.946379 8.3970
2.400 18 15622030 15.998935 7.8115
2.400 19 13644011 14.266118 7.6511
2.400 20 11457754 14.824698 6.1831
2.400 21 10411026 15.968497 5.2158
2.400 22 13549662 14.293859 7.5835
2.400 23 10427380 12.577156 6.6326
2.400 24 13566072 15.903329 6.8243
2.400 25 11457733 14.544370 6.3022
2.400 26 11457920 16.044570 5.7130
2.400 27 10870471 18.854050 4.6125
2.400 28 13076611 20.959497 4.9912
2.400 29 10445180 11.167906 7.4823
2.600 0 10413877 14.590000 5.7101
2.600 1 11473148 14.240486 6.4454
2.600 2 10428740 11.380341 7.3311
2.600 3 10428883 11.824167 7.0560
2.600 4 13940929 18.000115 6.1959
2.600 5 10428796 11.393327 7.3227
2.600 6 10460112 13.235669 6.3224
2.600 7 11473135 11.628906 7.8928
2.600 8 10509198 16.641694 5.0520
2.600 9 11474578 13.205406 6.9514
2.600 10 10443811 13.628529 6.1306
2.600 11 10412278 15.399462 5.4092
2.600 12 11457956 12.542485 7.3083
2.600 13 15363050 15.270318 8.0486
2.600 14 11472949 13.196751 6.9550
2.600 15 11000106 15.776956 5.5778
2.600 16 10199728 16.361589 4.9872
