transfert size : 20.0000000000 MB, iterations : 15, max bandwidths : arange(5, 101 ,5)
max_bw iter total_transfert time goodput
70 1 3.02 19.6 54.3
70 2 3.03 19.7 54.5
70 3 2.95 19.4 55.2
70 4 2.87 19.6 57.2
70 5 2.84 19.4 57.2
70 6 3.22 19.6 51.1
70 7 3.54 18.9 44.7
70 8 2.76 19.5 59.2
70 9 2.76 19.5 59.2
70 10 2.91 19.4 55.9
70 11 3.72 19.4 43.8
70 12 2.95 19.5 55.5
70 13 3.13 19.3 51.7
70 14 2.87 19.0 55.5
75 0 2.64 19.6 62.3
75 1 2.62 19.2 61.4
75 2 2.59 19.6 63.6
75 3 3.67 19.3 44.2
75 4 2.69 19.6 61.3
75 5 2.78 19.4 58.5
75 6 3.39 19.4 48.0
75 7 2.72 19.5 60.3
75 8 2.71 19.5 60.3
75 9 2.61 19.3 62.0
75 10 2.70 19.4 60.1
75 11 2.76 19.5 59.3
75 12 2.73 19.6 60.2
75 13 2.72 19.3 59.7
75 14 2.61 19.6 63.1
80 0 2.55 19.5 64.1
80 1 2.44 19.4 66.5
80 2 2.50 19.5 65.4
80 3 2.50 19.5 65.4
80 4 2.78 19.4 58.6
80 5 2.78 19.5 58.8
80 6 3.02 19.3 53.6
80 7 3.35 18.5 46.4
80 8 2.53 19.4 64.4
80 9 2.51 19.6 65.3
80 10 3.37 19.3 48.1
80 11 2.56 19.4 63.8
80 12 2.63 19.4 61.8
80 13 2.50 19.6 65.6
80 14 3.62 19.0 44.1
85 0 3.57 19.6 46.0
85 1 2.21 19.5 74.2
85 2 2.42 19.3 67.0
85 3 2.33 19.5 70.2
85 4 2.55 19.4 64.0
85 5 2.42 19.5 67.7
85 6 2.25 19.5 72.6
85 7 2.60 19.6 63.1
85 8 2.46 19.4 66.2
85 9 3.14 19.3 51.5
85 10 2.80 19.3 57.9
85 11 2.84 19.4 57.2
85 12 2.87 19.4 56.7
85 13 2.69 19.4 60.6
85 14 3.10 19.5 52.8
90 0 2.34 19.3 69.3
90 1 2.70 19.4 60.1
90 2 2.33 19.4 69.9
90 3 2.26 19.3 71.4
90 4 2.41 19.4 67.6
90 5 2.27 19.4 71.6
90 6 2.92 19.3 55.4
90 7 2.65 19.5 61.8
90 8 2.26 19.6 72.6
90 9 2.20 19.5 74.0
90 10 2.39 19.4 68.3
90 11 2.54 19.5 64.5
90 12 2.85 19.4 57.2
90 13 2.36 19.6 69.6
90 14 2.57 19.4 63.3
95 0 2.12 19.4 76.7
95 1 2.39 19.2 67.3
95 2 2.29 19.4 70.8
95 3 2.32 19.6 70.6
95 4 2.17 19.5 75.4
95 5 2.12 19.3 76.6
95 6 2.29 19.5 71.4
95 7 2.02 19.5 81.1
95 8 2.20 19.5 74.6
95 9 2.22 19.5 73.6
95 10 2.40 19.4 67.7
95 11 2.16 19.3 75.1
95 12 2.85 19.4 57.1
95 13 2.41 19.3 67.1
95 14 2.18 19.3 74.3
100 0 2.19 19.4 74.6
100 1 1.94 19.5 84.3
100 2 1.99 19.4 81.8
100 3 2.35 19.2 68.4
100 4 2.07 19.5 79.1
100 5 2.08 19.4 78.1
100 6 2.53 19.0 63.0
100 7 1.92 19.5 85.0
100 8 1.96 19.3 82.5
100 9 1.94 19.4 83.7
100 10 2.28 19.1 70.2
100 11 2.09 19.6 78.3
100 12 2.38 19.4 68.2
100 13 2.50 19.4 65.2
100 14 2.04 19.6 80.3
